Release_Date	Polling_Start	Polling_End	NrParticipants CDU/CSU	SPD	GRÜNE	FDP	LINKE	AFD	SONSTIGE
17.10.2020	12.10.2020	16.10.2020	2501	36	15	20	6	7	9	7
10.10.2020	05.10.2020	09.10.2020	2504	36	15	20	5	8	9	7
03.10.2020	29.09.2020	02.10.2020	2502	36	15	20	6	7	9	7
26.09.2020	21.09.2020	25.09.2020	2504	35	15	21	6	8	9	6
19.09.2020	14.09.2020	18.09.2020	2501	36	14	22	5	8	8	7
12.09.2020	07.09.2020	11.09.2020	2501	36	16	18	5	9	9	7
05.09.2020	31.08.2020	04.09.2020	2503	36	16	18	5	9	9	7
29.08.2020	24.08.2020	28.08.2020	2502	36	16	19	5	7	9	8
22.08.2020	17.08.2020	21.08.2020	2504	36	16	19	5	7	9	8
15.08.2020	10.08.2020	14.08.2020	2501	36	16	20	6	6	9	7
08.08.2020	03.08.2020	07.08.2020	2502	38	14	18	6	8	8	8
01.08.2020	27.07.2020	31.07.2020	2504	38	14	18	6	8	8	8
25.07.2020	20.07.2020	24.07.2020	2504	38	14	18	6	8	9	7
18.07.2020	13.07.2020	16.07.2020	2501	38	14	18	6	8	9	7
11.07.2020	06.07.2020	10.07.2020	2500	38	14	18	6	7	10	7
04.07.2020	29.06.2020	03.07.2020	2503	38	14	18	5	8	10	7
27.06.2020	22.06.2020	26.06.2020	2501	38	14	17	6	8	10	7
20.06.2020	15.06.2020	19.06.2020	2501	39	14	18	5	8	9	7
13.06.2020	08.06.2020	13.06.2020	2504	40	14	17	6	8	8	7
06.06.2020	02.06.2020	05.06.2020	2002	40	16	15	6	8	8	7
30.05.2020	25.05.2020	29.05.2020	2500	40	15	16	5	8	9	7
23.05.2020	18.05.2020	22.05.2020	2002	40	15	16	5	8	9	7
16.05.2020	11.05.2020	15.05.2020	2509	39	15	16	6	8	9	7
09.05.2020	04.05.2020	08.05.2020	2503	40	15	15	6	7	10	7
02.05.2020	27.04.2020	30.04.2020	2004	38	17	14	6	8	10	7
25.04.2020	20.04.2020	24.04.2020	2505	39	16	15	6	8	9	7
18.04.2020	14.04.2020	17.04.2020	2002	39	16	15	5	8	10	7
11.04.2020	06.04.2020	09.04.2020	2001	37	17	16	5	8	10	7
04.04.2020	30.03.2020	03.04.2020	2506	37	17	16	6	8	9	7
28.03.2020	23.03.2020	27.03.2020	2511	36	16	17	6	8	9	8
26.03.2020	23.03.2020	25.03.2020	1502	36	16	17	6	8	9	8
21.03.2020	16.03.2020	20.03.2020	2504	32	15	20	7	9	9	8
14.03.2020	09.03.2020	13.03.2020	2503	29	14	22	6	10	11	8
07.03.2020	02.03.2020	06.03.2020	2503	26	15	24	6	10	11	8
29.02.2020	24.02.2020	28.02.2020	2505	27	16	24	5	10	10	8
22.02.2020	17.02.2020	21.02.2020	2504	27	14	24	7	10	10	8
15.02.2020	10.02.2020	14.02.2020	2502	27	14	24	6	10	11	8
08.02.2020	03.02.2020	07.02.2020	2503	28	14	23	8	9	10	8
01.02.2020	27.01.2020	31.01.2020	2504	28	12	23	9	9	11	8
25.01.2020	20.01.2020	24.01.2020	2507	28	12	23	9	9	12	7
18.01.2020	13.01.2020	17.01.2020	2504	28	13	22	8	9	13	7
11.01.2020	06.01.2020	10.01.2020	2503	28	12	22	9	8	13	8
21.12.2019	16.12.2019	20.12.2019	2501	28	13	22	8	8	13	8
14.12.2019	09.12.2019	13.12.2019	2502	28	12	22	8	9	13	8
07.12.2019	02.12.2019	06.12.2019	2502	28	11	22	9	8	14	8
30.11.2019	25.11.2019	29.11.2019	2500	27	14	22	8	8	13	8
23.11.2019	18.11.2019	22.11.2019	2501	26	14	21	9	9	13	8
16.11.2019	11.11.2019	15.11.2019	2501	26	15	19	9	10	13	8
09.11.2019	04.11.2019	08.11.2019	2501	26	13	21	9	10	13	8
02.11.2019	28.10.2019	01.11.2019	2502	28	13	20	8	10	13	8
26.10.2019	21.10.2019	25.10.2019	2501	29	14	20	8	8	13	8
19.10.2019	14.10.2019	18.10.2019	2501	27	14	22	8	8	13	8
12.10.2019	07.10.2019	11.10.2019	2500	27	14	23	8	8	12	8
05.10.2019	30.09.2019	04.10.2019	2505	28	14	22	8	7	13	8
