Release_Date	Polling_Start	Polling_End	NrParticipants	CDU_CSU	SPD	GRÜNE	FDP	LINKE	PIRATEN	FW	AFD	SONSTIGE
25.05.2020	22.05.2020	25.05.2020	2062	37	15	18	6	8	n/a	n/a	9.5	6.5
18.05.2020	15.05.2020	18.05.2020	2092	37	14	18	6	7.5	n/a	n/a	10.5	7
12.05.2020	08.05.2020	11.05.2020	2061	37.5	14	16.5	6.5	7.5	n/a	n/a	11	7
04.05.2020	01.05.2020	04.05.2020	2101	37.5	15	17	6	7.5	n/a	n/a	11	6
28.04.2020	24.04.2020	27.04.2020	2071	38	15.5	16	7	7	n/a	n/a	10.5	6
21.04.2020	17.04.2020	20.04.2020	2054	38.5	15	16	7	7.5	n/a	n/a	10.5	5.5
14.04.2020	09.04.2020	14.04.2020	2108	37.5	16	16	7	7.5	n/a	n/a	10.5	5.5
06.04.2020	03.04.2020	06.04.2020	2062	38	16	18	5.5	7	n/a	n/a	10	5.5
31.03.2020	27.03.2020	30.03.2020	2061	35	15	18	6.5	7.5	n/a	n/a	12	6
23.03.2020	20.03.2020	23.03.2020	2070	33.5	15	20	6.5	7	n/a	n/a	12	6
16.03.2020	13.03.2020	16.03.2020	2049	28.5	14.5	23	6.5	9.5	n/a	n/a	13	5
09.03.2020	06.03.2020	09.03.2020	2050	26.5	15.5	22	6.5	9.5	n/a	n/a	14	6
03.03.2020	28.02.2020	02.03.2020	2061	26.5	16	23	6	10	n/a	n/a	13.5	5
25.02.2020	21.02.2020	24.02.2020	2033	26.5	14.5	22	7	10.5	n/a	n/a	13	6.5
18.02.2020	14.02.2020	17.02.2020	2065	26.5	14.5	20.5	7.5	9.5	n/a	n/a	15	6.5
11.02.2020	07.02.2020	10.02.2020	2086	27.5	12.5	22	8	10	n/a	n/a	14	6
03.02.2020	31.01.2020	03.02.2020	2059	28	13	22	9	8	n/a	n/a	14	6
27.01.2020	24.01.2020	27.01.2020	2081	27	14	20.5	9	8.5	n/a	n/a	15	6
21.01.2020	17.01.2020	20.01.2020	2122	27.5	13	21	8.5	9.5	n/a	n/a	15	5.5
14.01.2020	10.01.2020	13.01.2020	2040	27	12.5	21	9.5	9	n/a	n/a	15	6
06.01.2020	03.01.2020	06.01.2020	2048	29	13	21.5	9	8.5	n/a	n/a	14	5
24.12.2019	20.12.2019	23.12.2019	2034	28	13	21	10	8	n/a	n/a	15	5
16.12.2019	13.12.2019	16.12.2019	2020	27	13	21	8.5	9.5	n/a	n/a	15	6
09.12.2019	06.12.2019	09.12.2019	2052	28	14	20.5	8.5	8.5	n/a	n/a	15	5.5
02.12.2019	29.11.2019	02.12.2019	2060	26.5	13.5	21.5	8.5	9	n/a	n/a	15	6
26.11.2019	22.11.2019	25.11.2019	2069	26.5	14.5	22	8.5	9.5	n/a	n/a	14	5
18.11.2019	15.11.2019	18.11.2019	4115	25	15.5	21	8.5	10	n/a	n/a	15	5
12.11.2019	08.11.2019	11.11.2019	2096	25.5	15.5	20.5	8	9.5	n/a	n/a	15	6
04.11.2019	01.11.2019	04.11.2019	2047	25.5	13.5	21	8	10	n/a	n/a	16	6
29.10.2019	25.10.2019	28.10.2019	2042	26	13.5	23	7.5	9	n/a	n/a	15.5	5.5
22.10.2019	18.10.2019	21.10.2019	2041	27	13.5	22.5	7.5	9	n/a	n/a	15	5.5
15.10.2019	11.10.2019	14.10.2019	2052	28	14	21.5	7.5	8	n/a	n/a	15	6
08.10.2019	04.10.2019	07.10.2019	2059	27	13	21	8.5	9	n/a	n/a	16	5.5
30.09.2019	27.09.2019	30.09.2019	2058	26.5	13	22	8	8	n/a	n/a	16	6.5
23.09.2019	20.09.2019	23.09.2019	2052	26	14	22	8	8	n/a	n/a	16	6
16.09.2019	13.09.2019	16.09.2019	2053	26.5	13.5	22.5	7.5	7.5	n/a	n/a	16	6.5
10.09.2019	06.09.2019	09.09.2019	2033	27	13.5	22	8	7.5	n/a	n/a	15.5	6.5
02.09.2019	30.08.2019	02.09.2019	2017	26	14.5	23.5	8.5	7	n/a	n/a	15	5.5
26.08.2019	23.08.2019	26.08.2019	2058	26	13	24	8	8	n/a	n/a	15	6
20.08.2019	16.08.2019	19.08.2019	2056	26.5	13	24.5	9	8	n/a	n/a	14.5	4.5
13.08.2019	09.08.2019	11.08.2019	2060	27.5	12	23.5	9	8	n/a	n/a	14.5	5.5
05.08.2019	02.08.2019	05.08.2019	2049	27.5	11.5	23.5	9	9	n/a	n/a	15	4.5
30.07.2019	26.07.2019	29.07.2019	2036	27	12.5	24.5	9	8	n/a	n/a	14.5	4.5
22.07.2019	19.07.2019	22.07.2019	2081	28.5	12.5	22.5	8	8	n/a	n/a	14.5	6
15.07.2019	12.07.2019	15.07.2019	2043	26	14	23	9	9	n/a	n/a	14	5
09.07.2019	05.07.2019	08.07.2019	2069	27	13.5	24	8	8.5	n/a	n/a	14	5
01.07.2019	28.06.2019	01.07.2019	2053	27	13	24	8	8	n/a	n/a	14	6
25.06.2019	21.06.2019	24.06.2019	2078	25.5	12.5	25.5	8.5	9	n/a	n/a	13.5	5.5
18.06.2019	14.06.2019	17.06.2019	2060	25	13	25	9	9	n/a	n/a	13.5	5.5
11.06.2019	07.06.2019	10.06.2019	2074	24	13	26.5	9	7.5	n/a	n/a	13.5	6.5
03.06.2019	03.06.2019	03.06.2019	1000	26	14	25	8	8	n/a	n/a	13	6
28.05.2019	24.05.2019	27.05.2019	2039	27.5	15.5	19	9.5	9	n/a	n/a	13.5	6
21.05.2019	17.05.2019	20.05.2019	2074	28	15.5	18.5	10	9	n/a	n/a	14	5
13.05.2019	10.05.2019	13.05.2019	2044	28.5	16	19	9.5	9	n/a	n/a	14	4
07.05.2019	03.05.2019	06.05.2019	2089	28.5	16	20	9	8.5	n/a	n/a	14	4
29.04.2019	26.04.2019	29.04.2019	2005	28	16	19	10	9	n/a	n/a	14	4
23.04.2019	18.04.2019	21.04.2019	1005	30	16	17	10	10	n/a	n/a	14	3
15.04.2019	12.04.2019	15.04.2019	2013	30.5	15.5	18	9	9	n/a	n/a	14	4
09.04.2019	05.04.2019	08.04.2019	2040	29	15.5	19	10	8.5	n/a	n/a	14	4
01.04.2019	28.03.2019	01.04.2019	4000	29.5	16.5	17.5	10	8.5	n/a	n/a	13.5	4.5
26.03.2019	22.03.2019	25.03.2019	2012	30.5	15.5	17.5	9	9	n/a	n/a	13.5	5
18.03.2019	15.03.2019	18.03.2019	2030	29.5	16	17.5	9	9	n/a	n/a	14.5	4.5
12.03.2019	08.03.2019	11.03.2019	2005	30.5	15	17.5	10	9	n/a	n/a	14.5	3.5
03.03.2019	27.02.2019	01.03.2019	4000	29	17	15.5	10	10	n/a	n/a	14.5	4
26.02.2019	22.02.2019	25.02.2019	2048	29.5	18	15.5	9.5	9	n/a	n/a	14	4.5
18.02.2019	15.02.2019	18.02.2019	2046	30	18	15	9	9.5	n/a	n/a	14	4.5
11.02.2019	08.02.2019	11.02.2019	2051	29.5	15.5	18.5	8.5	10.5	n/a	n/a	14	3.5
05.02.2019	01.02.2019	04.02.2019	2034	30	14.5	18.5	8.5	10.5	n/a	n/a	14	4
28.01.2019	25.01.2019	28.01.2019	2056	30	15	18	9	10	n/a	n/a	14	4
21.01.2019	18.01.2019	21.01.2019	2044	31	13.5	19.5	9.5	9.5	n/a	n/a	13	4
14.01.2019	11.01.2019	14.01.2019	2028	29	14.5	18	9.5	10.5	n/a	n/a	14.5	4
08.01.2019	05.01.2019	07.01.2019	2056	30	15	17	10	10	n/a	n/a	15	3
04.01.2019	02.01.2019	03.01.2019	1026	29	15	18	10	10	n/a	n/a	14	4
22.12.2018	20.12.2018	21.12.2018	1029	29	14	19	9	9	n/a	n/a	15	5
18.12.2018	14.12.2018	17.12.2018	2077	29	15	18	9.5	9.5	n/a	n/a	15	4
10.12.2018	08.12.2018	10.12.2018	2047	29	15	17	10	10	n/a	n/a	15	4
03.12.2018	30.11.2018	03.12.2018	2069	27.5	13.5	18	9.5	11	n/a	n/a	16	4.5
26.11.2018	23.11.2018	26.11.2018	2062	27.5	14	19	8.5	10	n/a	n/a	16	5
19.11.2018	16.11.2018	19.11.2018	2047	25.5	14.5	20	9.5	10	n/a	n/a	15.5	5
12.11.2018	09.11.2018	12.11.2018	2070	25.5	14	20	9	10	n/a	n/a	16.5	5
05.11.2018	02.11.2018	05.11.2018	3183	24.5	13.5	19	10	11	n/a	n/a	16.5	5.5
29.10.2018	26.10.2018	29.10.2018	2052	25	14	20	9.5	11	n/a	n/a	16.5	4
23.10.2018	19.10.2018	22.10.2018	2061	26	15	19	9	10.5	n/a	n/a	17	3.5
16.10.2018	12.10.2018	15.10.2018	2061	26.5	15	17	9.5	10.5	n/a	n/a	18	3.5
09.10.2018	05.10.2018	08.10.2018	2054	26	16	15	10	11	n/a	n/a	18	4
01.10.2018	28.09.2018	01.10.2018	2041	26	16	14.5	10	11.5	n/a	n/a	18.5	3.5
24.09.2018	21.09.2018	24.09.2018	2051	27	16	14.5	10	11.5	n/a	n/a	18	3
21.09.2018	19.09.2018	19.09.2018	1040	27.5	16.5	14.5	10	11	n/a	n/a	17.5	3
17.09.2018	14.09.2018	17.09.2018	2054	28.5	17	13	9	10.5	n/a	n/a	17.5	4.5
11.09.2018	07.09.2018	10.09.2018	2042	28	17	13.5	9	10.5	n/a	n/a	17.5	4.5
03.09.2018	31.08.2018	03.09.2018	2069	28.5	16	13.5	9.5	10	n/a	n/a	17	5.5
28.08.2018	24.08.2018	27.08.2018	2079	28	16.5	13.5	10	10.5	n/a	n/a	16.5	5
21.08.2018	16.08.2018	20.08.2018	3129	28	16.5	13.5	10	12	n/a	n/a	16	4
14.08.2018	10.08.2018	13.08.2018	2034	29	17.5	12.5	9.5	11	n/a	n/a	17	3.5
07.08.2018	03.08.2018	06.08.2018	2096	30	17	12.5	8.5	11	n/a	n/a	17	4
31.07.2018	27.07.2018	30.07.2018	2074	29	18	12	9	10.5	n/a	n/a	17.5	4
24.07.2018	20.07.2018	23.07.2018	2056	29	18	12	9	10.5	n/a	n/a	17.5	4
16.07.2018	13.07.2018	16.07.2018	2084	29	17	13	9.5	10	n/a	n/a	17.5	4
09.07.2018	06.07.2018	09.07.2018	2061	29	17	12	9.5	11	n/a	n/a	17.5	4
03.07.2018	29.06.2018	02.07.2018	2089	29	19	12	9	11	n/a	n/a	16.5	3.5
26.06.2018	22.06.2018	25.06.2018	2036	29	19.5	11	9	11	n/a	n/a	16	4.5
19.06.2018	15.06.2018	18.06.2018	2060	29	19	11	8	12	n/a	n/a	16	5
12.06.2018	08.06.2018	11.06.2018	2038	31	17	11	8	12	n/a	n/a	16	5
04.06.2018	01.06.2018	04.06.2018	2067	32	17	11	8	11.5	n/a	n/a	16	4.5
29.05.2018	25.05.2018	28.05.2018	2062	32	17	11.5	8	12	n/a	n/a	15.5	4
23.05.2018	18.05.2018	22.05.2018	2044	32.5	16.5	11.5	8	11	n/a	n/a	15.5	5
14.05.2018	11.05.2018	14.05.2018	2098	32.5	17	11.5	8	11	n/a	n/a	15.5	4.5
08.05.2018	04.05.2018	07.05.2018	2065	32.5	17	11.5	8.5	10.5	n/a	n/a	15.5	4.5
30.04.2018	27.04.2018	30.04.2018	2097	33	17	11.5	9	10.5	n/a	n/a	15.5	3.5
24.04.2018	20.04.2018	23.04.2018	2091	31.5	18	12	9.5	10.5	n/a	n/a	15.5	3
17.04.2018	13.04.2018	16.04.2018	2054	31.5	18.5	11.5	9	11	n/a	n/a	15	3.5
10.04.2018	06.04.2018	09.04.2018	2048	31.5	17.5	11.5	9	12	n/a	n/a	15.5	3
03.04.2018	29.03.2018	31.03.2018	1074	32	18	10	10	12	n/a	n/a	15	3
26.03.2018	23.03.2018	26.03.2018	2051	32.5	17	10.5	10	12	n/a	n/a	15	3
20.03.2018	16.03.2018	19.03.2018	2066	32	17.5	10.5	10	12	n/a	n/a	15	3
13.03.2018	09.03.2018	12.03.2018	2033	32	17.5	11	9.5	12	n/a	n/a	15	3
05.03.2018	05.03.2018	05.03.2018	1052	33	15	12	10	12	n/a	n/a	15	3
26.02.2018	23.02.2018	26.02.2018	1063	32.5	15.5	12	9	12	n/a	n/a	16	3
19.02.2018	16.02.2018	19.02.2018	2040	32	15.5	13	9	11	n/a	n/a	16	3.5
12.02.2018	09.02.2018	12.02.2018	2608	29.5	16.5	13	10.5	11.5	n/a	n/a	15	4
05.02.2018	02.02.2018	05.02.2018	2034	30.5	17	12.5	10	11	n/a	n/a	15	4
29.01.2018	26.01.2018	29.01.2018	2073	33.5	17.5	11	9	11	n/a	n/a	14	4
23.01.2018	22.01.2018	22.01.2018	1169	31.5	18	10	10	11	n/a	n/a	14	5.5
15.01.2018	12.01.2018	15.01.2018	2000	31.5	18.5	10	9.5	11.5	n/a	n/a	14	5
08.01.2018	05.01.2018	08.01.2018	2028	31.5	19.5	10	10	11	n/a	n/a	13.5	4.5
02.01.2018	29.12.2018	02.01.2018	2012	32.5	19.5	10	10	11	n/a	n/a	13	4
23.12.2017	21.12.2017	22.12.2017	2203	33	20.5	9.5	10.5	10	n/a	n/a	13	3.5
19.12.2017	15.12.2017	18.12.2017	2031	31	21	10	9	11	n/a	n/a	14	4
12.12.2017	08.12.2017	11.12.2017	2013	31	22	10.5	9	10.5	n/a	n/a	13.5	3.5
05.12.2017	01.12.2017	04.12.2017	2063	31	22	10	10	11	n/a	n/a	13	3
27.11.2017	24.11.2017	27.11.2017	2003	32	22	10	10	10	n/a	n/a	13	3
23.11.2017	21.11.2017	22.11.2017	1069	32	21	10	12	10	n/a	n/a	12	3
21.11.2017	20.11.2017	20.11.2017	1034	30	21	10	11	11	n/a	n/a	14	3
21.11.2017	17.11.2017	19.11.2017	2027	31	21	9.5	10	11.5	n/a	n/a	14	3
14.11.2017	10.11.2017	13.11.2017	2049	32	20	9	10.5	10.5	n/a	n/a	13.5	4.5
07.11.2017	03.11.2017	06.11.2017	2023	31	22	8.5	10.5	10.5	n/a	n/a	13.5	4
30.10.2017	27.10.2017	28.10.2017	1024	31	21	10	11	10	n/a	n/a	13	4
24.10.2017	23.10.2017	23.10.2017	1002	33	21	9	10	10	n/a	n/a	13	4
16.10.2017	13.10.2017	16.10.2017	2011	32	21.5	9.5	10	9	n/a	n/a	13	5
10.10.2017	06.10.2017	09.10.2017	2015	32	22	9	11	9	n/a	n/a	13	4
01.10.2017	27.09.2017	28.09.2017	1071	31	21	10	12	9	n/a	n/a	13	4
22.09.2017	21.09.2017	22.09.2017	2000	34	21	8	9	11	n/a	n/a	13	4
18.09.2017	15.09.2017	18.09.2017	2042	36	22	7	9	11	n/a	n/a	11	4
11.09.2017	08.09.2017	11.09.2017	2054	36.5	23.5	6	9	10.5	n/a	n/a	11	3.5
04.09.2017	01.09.2017	04.09.2017	2048	36.5	23.5	6.5	8.5	10	n/a	n/a	10.5	4.5
29.08.2017	25.08.2017	28.08.2017	2034	37	24	6.5	8	10	n/a	n/a	10	4.5
22.08.2017	18.08.2017	21.08.2017	2036	38	24	7	9	9	n/a	n/a	10	3
15.08.2017	11.08.2017	14.08.2017	2025	37	25	7	9	9	n/a	n/a	10	3
07.08.2017	04.08.2017	07.08.2017	2046	37	25	6.5	9	10.5	n/a	n/a	9	3
01.08.2017	28.07.2017	31.07.2017	2046	37	24.5	7	9	10	n/a	n/a	9.5	3
25.07.2017	21.07.2017	24.07.2017	2009	37.5	25	6.5	8.5	10.5	n/a	n/a	9	3
18.07.2017	14.07.2017	17.07.2017	2026	36	25	6.5	8.5	9.5	n/a	n/a	10	4.5
10.07.2017	07.07.2017	10.07.2017	2009	36	25	6.5	9	9.5	n/a	n/a	9.5	4.5
03.07.2017	30.06.2017	03.07.2017	2044	36.5	25	6.5	9	10.5	n/a	n/a	9	3.5
27.06.2017	23.06.2017	26.06.2017	2056	37	26	6.5	9	10	n/a	n/a	8.5	3
20.06.2017	16.06.2017	19.06.2017	2040	36.5	25	6.5	9	11	n/a	n/a	9	3
12.06.2017	09.06.2017	12.06.2017	2051	37.5	23.5	6.5	9	11	n/a	n/a	9	3.5
06.06.2017	02.06.2017	06.06.2017	2037	38	23	7	9	11	n/a	n/a	8	4
29.05.2017	26.05.2017	29.05.2017	2053	35.5	26	6	10	10	n/a	n/a	9	3.5
22.05.2017	19.05.2017	22.05.2017	2042	36.5	26	6	9.5	10	n/a	n/a	8	4
16.05.2017	12.05.2017	15.05.2017	2037	36	27	6	8	9	n/a	n/a	10	4
09.05.2017	05.05.2017	08.05.2017	2067	35	27	7	7	10	n/a	n/a	10	4
02.05.2017	28.04.2017	02.05.2017	2035	34	28.5	6.5	7	10.5	n/a	n/a	9	4.5
25.04.2017	21.04.2017	24.04.2017	2041	34	30	6.5	6.5	9.5	n/a	n/a	10	3.5
19.04.2017	14.04.2017	18.04.2017	2038	34	30.5	6	6.5	9	n/a	n/a	10	4
10.04.2017	07.04.2017	10.04.2017	2030	33	31.5	6.5	6.5	8.5	n/a	n/a	10	4
03.04.2017	31.03.2017	03.04.2017	2033	32	32.5	6.5	6.5	9	n/a	n/a	9	4.5
27.03.2017	24.03.2017	27.03.2017	2034	32	32	6.5	6	8.5	n/a	n/a	11	4
20.03.2017	17.03.2017	20.03.2017	1933	31	32	6.5	6.5	8.5	n/a	n/a	11.5	4
13.03.2017	10.03.2017	13.03.2017	2051	31	31	6.5	7	8.5	n/a	n/a	11.5	4.5
07.03.2017	03.03.2017	06.03.2017	2022	30.5	31.5	6.5	7.5	8.5	n/a	n/a	11	4.5
28.02.2017	24.02.2017	27.02.2017	2004	30.5	32	6.5	7	8	n/a	n/a	11	5
21.02.2017	17.02.2017	20.02.2017	2030	31.5	30	6.5	5.5	9.5	n/a	n/a	11	6
13.02.2017	10.02.2017	13.02.2017	2028	30	31	7	5	10	n/a	n/a	12	5
06.02.2017	03.02.2017	06.02.2017	2042	30	31	7	6	10	n/a	n/a	12	4
30.01.2017	27.01.2017	30.01.2017	2088	32.5	26	7.5	6.5	10.5	n/a	n/a	13	4
23.01.2017	20.01.2017	23.01.2017	1992	32.5	21	8.5	7.5	11	n/a	n/a	14.5	5
17.01.2017	13.01.2017	16.01.2017	2031	33.5	21	8.5	7.5	11	n/a	n/a	13.5	5
09.01.2017	06.01.2017	09.01.2017	2054	32	21	9	7	11	n/a	n/a	15	5
03.01.2017	30.12.2017	02.01.2017	2099	32	21	10	6	11.5	n/a	n/a	15	4.5
23.12.2016	21.12.2016	23.12.2016	2083	31.5	20.5	10	6	11.5	n/a	n/a	15.5	5
20.12.2016	16.12.2016	19.12.2016	2116	33	21.5	10	6.5	11.5	n/a	n/a	13	4.5
13.12.2016	09.12.2016	12.12.2016	1455	32	21.5	11.5	5.5	12	n/a	n/a	13	4.5
06.12.2016	02.12.2016	05.12.2016	2080	32	22.5	10.5	5	11.5	n/a	n/a	14	4.5
28.11.2016	25.11.2016	28.11.2016	2097	32.5	22	10	5.5	11.5	n/a	n/a	13.5	5
22.11.2016	18.11.2016	21.11.2016	2030	31.5	22	10.5	5.5	10.5	n/a	n/a	15	5
14.11.2016	11.11.2016	14.11.2016	2037	30	22.5	10.5	6.5	11.5	n/a	n/a	14.5	4.5
08.11.2016	04.11.2016	07.11.2016	2045	30.5	22	11	7	10.5	n/a	n/a	13.5	5.5
02.11.2016	28.10.2016	02.11.2016	2037	30.5	22.5	11	6.5	11.5	n/a	n/a	13	5
25.10.2016	21.10.2016	24.10.2016	2043	30.5	22.5	11.5	6	11.5	n/a	n/a	14	4
18.10.2016	14.10.2016	17.10.2016	2077	29.5	21.5	12	6.5	12.5	n/a	n/a	13.5	4.5
10.10.2016	07.10.2016	10.10.2016	2085	29.5	22	11	6.5	12	n/a	n/a	15	4
05.10.2016	30.09.2016	03.10.2016	2049	30	21	11.5	7	11.5	n/a	n/a	15	4
27.09.2016	23.09.2016	26.09.2016	2048	30	21	10	7	11	n/a	n/a	15.5	5.5
19.09.2016	16.09.2016	19.09.2016	2069	30	22	11	7	10	n/a	n/a	15	5
13.09.2016	09.09.2016	12.09.2016	2035	30.5	21.5	11	7	10	n/a	n/a	15	5
05.09.2016	02.09.2016	05.09.2016	2071	30.5	21.5	11.5	6.5	9.5	n/a	n/a	15	5.5
30.08.2016	26.08.2016	29.08.2016	2013	30.5	21	11.5	7	10.5	n/a	n/a	14.5	5
23.08.2016	19.08.2016	22.08.2016	2020	31	21	11.5	6.5	10.5	n/a	n/a	14	5.5
16.08.2016	12.08.2016	15.08.2016	2046	31	20.5	11	7	11.5	n/a	n/a	13.5	5.5
09.08.2016	05.08.2016	08.08.2016	2056	31.5	21	11.5	6.5	11.5	n/a	n/a	13	5
02.08.2016	30.07.2016	01.08.2016	1973	31.5	21	11	6.5	11	n/a	n/a	13	6
26.07.2016	22.07.2016	25.07.2016	2049	31.5	21.5	12	6.5	11.5	n/a	n/a	12	5
19.07.2016	15.07.2016	18.07.2016	2038	32	21	12	7	11.5	n/a	n/a	11	5.5
11.07.2016	08.07.2016	11.07.2016	2034	31	20.5	12	7.5	11	n/a	n/a	12.5	5.5
04.07.2016	01.07.2016	04.07.2016	2001	30	21	12	8	10	n/a	n/a	14.5	4.5
27.06.2016	24.06.2016	27.06.2016	2054	30	19	13	8	11	n/a	n/a	14	5
20.06.2016	17.06.2016	20.06.2016	2017	31	20	13	7	11	n/a	n/a	13	5
13.06.2016	10.06.2016	13.06.2016	2047	30	19.5	12	8	11	n/a	n/a	14	5.5
06.06.2016	03.06.2016	06.06.2016	2032	30	19	13	8	10.5	n/a	n/a	14	5.5
31.05.2016	25.05.2016	30.05.2016	2053	30	19	13	8	9.5	n/a	n/a	15	5.5
23.05.2016	20.05.2016	23.05.2016	2022	30.5	19.5	13	7	10	n/a	n/a	15	5
17.05.2016	13.05.2016	17.05.2016	1947	30.5	19.5	13	7.5	10.5	n/a	n/a	15	4
09.05.2016	04.05.2016	09.05.2016	2048	30.5	19.5	13	8	10	n/a	n/a	15	4
02.05.2016	29.04.2016	02.05.2016	2036	32	19.5	13	8	10	n/a	n/a	13.5	4
25.04.2016	22.04.2016	25.04.2016	2054	31	19.5	14	8	10	n/a	n/a	13.5	4
